Date,Open,High,Low,Close,Adj Close,Volume
2009-01-01,57.549999,59.810001,52.310001,53.790001,40.169014,103623600
2009-02-01,52.790001,54.660000,45.169998,45.459999,33.948376,130140500
2009-03-01,44.619999,51.130001,40.869999,49.720001,37.533298,157046900
2009-04-01,48.950001,58.980000,48.720001,57.599998,43.481853,116948000
2009-05-01,57.560001,60.230000,55.230000,57.099998,43.104404,89372800
2009-06-01,57.900002,61.459999,56.610001,60.099998,45.764694,96293200
2009-07-01,60.310001,71.389999,57.810001,70.519997,53.699257,108891900
2009-08-01,71.800003,73.500000,69.260002,72.099998,54.902397,87303100
2009-09-01,71.809998,76.000000,69.889999,73.800003,56.607285,72538600
2009-10-01,73.559998,79.250000,71.620003,73.570000,56.430859,82528000
2009-11-01,73.860001,79.000000,73.349998,77.440002,59.399307,59750400
2009-12-01,77.849998,84.320000,76.000000,82.669998,63.824062,80368700
2010-01-01,83.089996,85.169998,79.110001,80.489998,62.141045,75208100
2010-02-01,80.839996,81.760002,77.250000,80.150002,61.878529,75020400
2010-03-01,80.570000,84.500000,80.349998,83.570000,64.942581,91066100
2010-04-01,83.870003,90.250000,82.690002,88.669998,68.905830,96407000
2010-05-01,89.190002,90.519997,68.959999,79.309998,61.632118,109573600
2010-06-01,78.720001,83.000000,72.720001,78.989998,61.769413,114407500
2010-07-01,79.059998,87.480003,77.040001,85.540001,66.891472,89556700
2010-08-01,86.800003,88.379997,78.400002,78.550003,61.425346,74721100
2010-09-01,79.510002,88.000000,79.290001,86.709999,68.232391,64059700
2010-10-01,87.379997,91.489998,83.800003,84.220001,66.272980,82038100
2010-11-01,84.570000,87.870003,83.000000,83.980003,66.084137,85344700
2010-12-01,85.419998,87.820000,83.230003,86.300003,68.335640,77138400
2011-01-01,86.750000,90.500000,85.629997,87.919998,69.618401,70774300
2011-02-01,88.019997,93.650002,87.440002,92.230003,73.031227,66069700
2011-03-01,92.190002,94.160004,86.910004,93.500000,74.482147,80777700
2011-04-01,93.529999,97.500000,90.580002,97.209999,77.437531,64783900
2011-05-01,97.580002,97.949997,91.379997,94.379997,75.183144,66189800
2011-06-01,94.330002,95.059998,90.190002,94.849998,76.002937,67513900
2011-07-01,94.830002,98.190002,86.599998,87.139999,69.824921,86582100
2011-08-01,87.980003,88.169998,76.500000,82.980003,66.491554,150664200
2011-09-01,83.019997,83.949997,71.709999,71.790001,57.912857,116304100
2011-10-01,71.129997,82.400002,68.629997,79.019997,63.745285,113482500
2011-11-01,77.889999,83.099998,75.489998,81.040001,65.374840,94894200
2011-12-01,81.250000,82.800003,77.510002,81.730003,66.397285,79927400
2012-01-01,83.760002,87.989998,82.699997,86.709999,70.443039,70287500
2012-02-01,87.519997,88.459999,86.690002,87.599998,71.166069,56589900
